Processo,Ano,Tipo,Situação,Ementa,Protocolo,Data
6846,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal troca das lâmpadas situadas na Rua Quatro, Bloco 11, do Bairro Palmeiras de São José.",8975,31/05/2021
6845,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a recomposição de asfalto, guia e sarjeta, em frente a Rua Maurício Cardoso, número 55, no bairro Jardim Sul.",8974,31/05/2021
6844,2021,Moção,Tramitando,Congratula-se com a Sua Reverência o Senhor Padre Antônio Silva França pelo seu ANIVERSÁRIO SACERDOTAL.

,8973,31/05/2021
6843,2021,Moção,Tramitando,Congratula-se com a Sua Reverência o Senhor Padre Carlos de Oliveira Berto pelo seu ANIVERSÁRIO SACERDOTAL.

,8970,31/05/2021
6842,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização de serviços de tapa-buracos, na Rua Kumamoto, em frente ao número 267, no bairro Jardim Oriente.


",8969,31/05/2021
6841,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal o envio de equipe técnica, a fim de avaliar a possibilidade de implantação de redutor de velocidade ou outra medida cabível e implantação de postes de iluminação, na Rua Wanderley de Oliveira, na altura do número 65, no bairro Residencial União.",8968,31/05/2021
6840,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal providências no sentido de aumentar o tempo para travessia de pedestres, no semáforo situado entre o cruzamento a Avenida Cassiopeia com a Avenida Andrômeda, no bairro Jardim Satélite. ",8967,31/05/2021
6839,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal estudo técnico para melhor escoamento de águas na Rua Francisco Rosa Marques, nas proximidades dos números 380 a 852, no bairro Residencial União. ",8966,31/05/2021
6837,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal implantação de boca de lobo, na Rua Francisco Rosa Marques, nas proximidades do número 470, no bairro Residencial União. ",8964,31/05/2021
6836,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal capina, limpeza e manutenção da Área Verde João Manoel, situada no bairro Residencial União.",8963,31/05/2021
6835,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal poda das árvores localizadas na Praça Yamagata, no bairro Jardim Oriente.",8962,31/05/2021
6832,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a limpeza e jardinagem na Praça Mikado, no bairro Jardim Oriente. ",8959,31/05/2021
6829,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de retirada de galhos na Rua Cecília Simão,  em frente ao número 14, no bairro Jardim do Céu. ",8956,31/05/2021
6826,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal estudo técnico para implantação de espaço destinado exclusivamente para cães, na Área Verde situada em frente a Avenida José de Resende, no bairro Jardim Sul. 

",8953,31/05/2021
6825,2021,Indicação,Tramitando,"Solicita à Sabesp a realização do conserto do vazamento de água localizado na Avenida Cidade Jardim, defronte ao número 2.381, no bairro Bosque dos Eucaliptos. ",8952,31/05/2021
6824,2021,Ata Sessão Ordinária,Tramitando,Ata Legal e Anais da 36ª Sessão Ordinária realizada em 27 de maio de 2021.,8951,31/05/2021
6823,2021,Ata Sessão Ordinária,Tramitando,Ata Legal e Anais da 35ª Sessão Ordinária realizada em 25 de maio de 2021.,8950,31/05/2021
6822,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal serviços de limpeza de bocas de lobo, a fim de solucionar mau cheiro, na Rua Francisco Rosa Marques, no bairro Residencial União. 
",8949,31/05/2021
6821,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de poda das árvores localizadas na Praça Ismar Lopes, no bairro Jardim Satélite. ",8948,31/05/2021
6820,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de rastelação e limpeza na Praça Jossei Toda, localizada no bairro Floradas de São José. ",8947,31/05/2021
6819,2021,Requerimento,Tramitando,Solicita à Prefeitura informações acerca dos instrumentos e sistemas utilizados pela Prefeitura quanto à notificação de situações de abusos de crianças na rede de ensino municipal.,8946,31/05/2021
6818,2021,Requerimento,Tramitando,Solicita à Prefeitura o envio da lista de vacinados no município à Câmara Municipal.,8945,31/05/2021
6817,2021,Indicação,Tramitando,Solicita à Prefeitura a realização de estudos para a implantação de linha e ponto de ônibus que atenda à região do Bairro Floresta.,8944,31/05/2021
6816,2021,Indicação,Tramitando,"Solicita à Prefeitura a implantação de travessia elevada na Av. Robson Custódio Machado, no Bairro Floresta, altura do número 100.",8943,31/05/2021
6815,2021,Projeto de Lei,Tramitando,"Altera o §2º do artigo 2º da Lei nº 9667, de 27 de fevereiro de 2018, que Cria o “Programa Pró-Trabalho” e dá outras providências.",8942,31/05/2021
6814,2021,Requerimento,Tramitando,Solicita à Prefeitura informações a respeito dos valores gastos com salários de funcionários cedidos a outros órgãos do setor público e sindicatos no ano de 2020,8941,31/05/2021
6813,2021,Projeto de Lei Complementar,Tramitando,"Altera a Lei Complementar n.º 643, de 23 de abril de 2021, que autoriza o Município a conceder, em caráter oneroso, a exploração de espaço dos bens públicos do imóvel denominado Arena Municipal de Esportes, e dá outras providências.",8940,31/05/2021
6812,2021,Moção,Tramitando,"Congratula-se com a Sua Reverência, o Senhor Padre Luis Fernando Soares, pelo seu aniversário natalício comemorado em 31 de maio de 2.021.",8938,31/05/2021
6811,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal à realização de troca de lampada localizada na Rua das Prímulas, n° 104, Bairro Jardim das Flores.",8937,31/05/2021
6810,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto à manutenção da Travessa Brazópolis, Bairro dos Freitas.",8936,31/05/2021
6809,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a implantação de iluminação em praça localizada na Rua Henrique Dias, Bairro Monte Castelo. ",8935,31/05/2021
6808,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização de fiscalização em terrenos particulares entre o nº 41, na Rua Aparecida César Leite, Bairro Residencial Righi. 


",8934,31/05/2021
6807,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal o envio de equipe técnica para averiguar casos de escorpiões em residência localizada na Rua Aparecido César Leite, nº 71, Bairro Residencial Righi. ",8933,31/05/2021
6806,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto à implantação de boca de lobo na Rua 5 de Maio, nº 57, no Bairro Jardim das Cerejeiras.",8932,31/05/2021
6805,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto a serviços de limpeza de boca de lobo na Rua Siqueira Campos, na altura do nº 1354, Centro.
",8931,31/05/2021
6804,2021,Indicação,Tramitando,Solicita à Prefeitura Municipal as providências cabíveis quanto a serviços de capina e roçada desde o ponto final da Avenida Guaramirim até a entrada do Bairro Bom Retiro.,8930,31/05/2021
6803,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto à implantação de boca de lobo na Avenida Guaramirim, frente ao nº 486, no Bairro Jardim Majestic.",8928,31/05/2021
6802,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto a serviços de manutenção em praça, localizada na Rua Cecília Lírio Tamanhão, Residencial da Ribeira.",8927,31/05/2021
6801,2021,Indicação,Tramitando,Solicita à Prefeitura Municipal as providências cabíveis quanto à implantação de áreas de lazer no Bairro Santa Hermínia.
,8926,31/05/2021
6800,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto à implantação de canaletas na Travessa Jesus de Nazaré, frente ao nº 285, Bairro dos Freitas.
",8925,31/05/2021
6799,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto ao envio de equipe para serviços de cascalhamento, localizado na Estrada dos Britos, Bairro Chácaras Havai.",8924,31/05/2021
6798,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal enviar equipe para realizar limpeza das bocas de lobo, localizadas à Travessa Caeté, na Vila São Geraldo.
",8923,31/05/2021
6797,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto a nivelamento de sarjeta na Rua Manoel Meneses Leal, nº 1316, Bairro Galo Branco.",8922,31/05/2021
6796,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal enviar equipe para desratização da Travessa Caeté, na Vila São Geraldo.",8921,31/05/2021
6795,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto à implantação de canaletas na Travessa Jesus de Nazaré, frente ao nº 285, Bairro dos Freitas.
",8920,31/05/2021
6794,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto à limpeza de boca de lobo na Rua Dona Olinda, Bairro dos Freitas.
",8919,31/05/2021
6793,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto à colocação de bloquetes na Travessa 4 (Travessa Jesus de Nazaré), Bairro dos Freitas.",8918,31/05/2021
6792,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto à manutenção de bloquetes da Travessa Dora Olinda, Bairro dos Freitas.
",8917,31/05/2021
6791,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto à limpeza de boca de lobo localizada na Travessa Dora Linda, Bairro dos Freitas.",8915,31/05/2021
6790,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto à manutenção da Travessa Projetada II, Bairro dos Freitas.",8914,31/05/2021
6789,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal o serviço de destoca e recomposição de calçada, situada á Av Doutor João Baptista Soares de Queiroz Junior, n°1531, bairro Jardim das Industrias.


",8913,31/05/2021
6788,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal o serviço de destoca na Praça Nossa Senhora da Soledade, localizada na Rua Uruguai, bairro Vista Verde. ",8912,31/05/2021
6787,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a retirada de formigueiros da academia ao ar livre localizada na Praça Nossa Senhora da Soledade, Rua Uruguai, bairro Vista Verde. ",8911,31/05/2021
6786,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a implantação de vaga destinada a deficientes físicos na Avenida Andrômeda, em frente ao número 693, bairro Jardim Satélite. ",8910,31/05/2021
6785,2021,Requerimento,Tramitando,"Requer a Telefônica Brasil S/A – Vivo providências para o conserto do telefone público (orelhão) localizado na Rua Alziro Lebrão, bairro Alto da Ponte. ",8909,31/05/2021
6784,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal o serviço de pintura de solo nas Ruas São Jorge e Paraguaçu, próximo ao Hospital Pio XII, bairro Santana.",8907,31/05/2021
6783,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal o serviço de tapa buraco e manutenção asfáltica na Rua Dr. Edgar de Souza, bairro Jardim Telespark. ",8906,31/05/2021
6782,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a supressão da árvore localizada na Rua Carlos Nunes de Paula, em frente ao número 1680, bairro Jardim Imperial. ",8905,31/05/2021
6781,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal os serviços de limpeza e manutenção da Praça Nossa Senhora da Soledade, localizada na Rua Uruguai, bairro Vista Verde. ",8904,31/05/2021
6780,2021,Requerimento,Tramitando,"Solicita à Prefeitura Municipal de São José dos Campos, urgência no agendamento de exame de Ecocardiograma Fetal da paciente Suzeane Aparecida Valente, inscrita no CRA 760963. ",8903,31/05/2021
6779,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal de São José dos Campos serviços de melhorias e manutenção (nivelamento, cascalhamento e terraplanagem) em toda a extensão da Rua 5, bairro Chácaras Oliveiras, região Norte.",8902,31/05/2021
6778,2021,Requerimento,Tramitando,"Solicito a Prefeitura Municipal de São José dos Campos, urgência no agendamento de consulta com Neurologista Infantil, para a criança João Lucas Quirino Oliveira, inscrito no CRA: 924479. ",8901,31/05/2021
6777,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal de São José dos Campos, providências necessárias e urgentes quanto a realização de estudo para desobstrução do passeio público em toda extensão da Rua Argentina, no bairro Vista Verde, região leste.",8900,31/05/2021
6776,2021,Requerimento,Tramitando,"Solicita à Prefeitura Municipal de São José dos Campos, informações a respeito da falta de medicamentos (Novocilin e Domperidona), na UBS do Alto da Ponte.",8898,31/05/2021
